College Name,Undergraduates ,Freshman Satisfaction ,Admission Rate ,Admission Deadline ,In-State Tuition ,Out-of-State Tuition 
Aaniiih Nakoda College,120,0%,"100% of 1,298 applicants were admitted",Rolling,"$3,750","$3,750"
Abilene Christian University,"3,233",0%,"66% of 11,306 applicants were admitted",February 1,"$45,800","$45,800"
Abraham Baldwin Agricultural College,"3,825",69%,"76% of 2,694 applicants were admitted",Not reported,"$3,268","$10,780"
Abraham Lincoln University,26,33%,100% of 870 applicants were admitted,Rolling,"$10,440","$10,440"
Academy College,99,0%,100% of 72 applicants were admitted,Not reported,"$56,000","$56,000"
Academy of Art University,"3,644",75%,"100% of 1,629 applicants were admitted",Rolling,"$31,384","$31,384"
Adams State University,"1,605",51%,"31% of 1,697 applicants were admitted",Rolling,"$12,751","$22,399"
Adelphi University,"5,322",82%,"66% of 19,705 applicants were admitted",Rolling,"$51,950","$51,950"
Adrian College,"1,675",65%,"73% of 2,475 applicants were admitted",August 1,"$42,782","$42,782"
AdventHealth University,"1,407",64%,"23% of 1,453 applicants were admitted",July 1,"$21,780","$21,780"
Agape College of Business and Science,43,100%,100% of 70 applicants were admitted,Not reported,Not reported,Not reported
Agnes Scott College,839,81.3%,"62% of 2,090 applicants were admitted",March 15,"$52,552","$52,552"
Alabama A&M University,"6,370",70%,"58% of 23,406 applicants were admitted",Rolling,"$10,024","$18,634"
Alabama State University,"3,521",70%,"98% of 7,197 applicants were admitted",Rolling,"$11,248","$19,576"
Alaska Bible College,41,100%,"100% of 2,845 applicants were admitted",Rolling,"$10,930","$10,930"
Alaska Pacific University,479,68%,96% of 592 applicants were admitted,Rolling,"$20,860","$20,860"
Albany College of Pharmacy and Health Sciences,529,86%,"53% of 2,826 applicants were admitted",February 1,"$42,325","$42,325"
Albany State University,"6,154",79%,"100% of 1,250 applicants were admitted",June 1,"$6,710","$21,290"
Albertus Magnus College,"1,005",66.9%,"59% of 3,485 applicants were admitted",Rolling,"$43,118","$43,118"
Albion College,"1,270",70.8%,"81% of 6,421 applicants were admitted",Rolling,"$58,500","$58,500"
Albright College,"1,230",62%,"76% of 5,754 applicants were admitted",Rolling,"$32,146","$32,146"
Alcorn State University,"2,532",76%,"45% of 6,532 applicants were admitted",Not reported,"$8,785","$8,785"
Alfred State College,"3,781",65%,"76% of 9,239 applicants were admitted",Rolling,"$8,892","$19,842"
Alfred University,"1,474",77.5%,"74% of 4,988 applicants were admitted",August 1,"$43,570","$43,570"
Alice Lloyd College,589,57%,"75% of 2,673 applicants were admitted",Rolling,"$14,058","$14,058"
Allegheny College,"1,168",78.3%,"55% of 5,757 applicants were admitted",February 15,"$58,160","$58,160"
Allegheny Wesleyan College,61,36%,100% of 244 applicants were admitted,Not reported,"$6,800","$6,800"
Allen College,261,0%,Not reported,Rolling,"$22,350","$22,350"
Allen University,576,45%,"73% of 3,529 applicants were admitted",July 1,"$14,304","$14,304"
Alliant International University,391,0%,Not reported,Rolling,"$19,230","$19,230"
Alliant International University - Phoenix,Not reported,0%,Not reported,Not reported,"$14,662","$14,662"
Alma College,"1,159",85%,"57% of 5,198 applicants were admitted",Rolling,"$51,524","$51,524"
Alpena Community College,"1,581",50%,"66% of 3,975 applicants were admitted",Rolling,"$8,250","$8,250"
Alvernia University,"2,192",72%,"58% of 5,715 applicants were admitted",Rolling,"$46,850","$46,850"
Alverno College,666,61%,84% of 634 applicants were admitted,Rolling,"$35,112","$35,112"
Amberton University,118,0%,"64% of 10,510 applicants were admitted",Not reported,"$15,885","$15,885"
Ambria College of Nursing,123,0%,100% of 12 applicants were admitted,Rolling,Not reported,Not reported
AMDA - American Musical and Dramatic Arts Academy - Los Angeles,"1,495",0%,Not reported,Rolling,"$46,928","$46,928"
America Evangelical University,74,54%,100% of 186 applicants were admitted,August 24,"$6,000","$6,000"
American Baptist College,46,100%,"100% of 5,293 applicants were admitted",Rolling,"$12,702","$12,702"
American Business & Technology University,340,0%,Not reported,Rolling,Not reported,Not reported
American College of Healthcare Sciences,762,100%,53% of 129 applicants were admitted,July 25,"$10,400","$10,400"
American College of the Building Arts,155,75%,44% of 126 applicants were admitted,Not reported,"$19,872","$19,872"
American Institute of Alternative Medicine,231,0%,78% of 175 applicants were admitted,Not reported,"$14,980","$14,980"
American InterContinental University Atlanta,734,14%,100% of 210 applicants were admitted,Rolling,"$14,250","$14,250"
American InterContinental University Houston,94,25%,100% of 159 applicants were admitted,Rolling,"$14,910","$14,910"
American InterContinental University Online,"7,186",36%,100% of 159 applicants were admitted,Rolling,"$13,080","$13,080"
American International College,"1,209",57%,"100% of 2,537 applicants were admitted",Rolling,"$45,530","$45,530"
American Islamic College,18,100%,100% of 9 applicants were admitted,Rolling,"$10,650","$10,650"
American Medical Academy,422,61%,100% of 24 applicants were admitted,Not reported,Not reported,Not reported
American Medical Sciences Center,365,100%,100% of 2 applicants were admitted,Not reported,Not reported,Not reported
American Musical and Dramatic Academy,"1,438",83%,"24% of 6,213 applicants were admitted",Rolling,"$49,274","$49,274"
American National University - Louisville,233,0%,Not reported,Rolling,"$13,590","$13,590"
American National University - Roanoke Valley,630,83%,"100% of 2,897 applicants were admitted",Rolling,Not reported,Not reported
American Public University System,"41,620",97%,100% of 61 applicants were admitted,Not reported,"$8,400","$8,400"
American University,"7,476",88.2%,"62% of 17,154 applicants were admitted",January 15,"$61,720","$61,720"
American University of Health Sciences,351,100%,50% of 2 applicants were admitted,Not reported,"$27,195","$27,195"
Amherst College,"1,881",97.3%,"9% of 13,742 applicants were admitted",January 5,"$73,830","$73,830"
Amridge University,243,0%,"100% of 9,655 applicants were admitted",Rolling,"$10,470","$10,470"
Ana G. Mendez University,"4,781",70%,"100% of 5,297 applicants were admitted",Not reported,"$10,690","$10,690"
Anderson University,"1,096",60%,"79% of 5,306 applicants were admitted",Rolling,"$38,900","$38,900"
Anderson University,"3,405",82.6%,"55% of 4,548 applicants were admitted",Rolling,"$36,360","$36,360"
Andrew College,496,40%,"46% of 1,581 applicants were admitted",August 15,"$19,704","$19,704"
Andrews University,"1,384",83%,"82% of 1,306 applicants were admitted",Rolling,"$36,454","$36,454"
Angeles College,598,86%,100% of 12 applicants were admitted,Rolling,Not reported,Not reported
Angelo State University,"9,778",68.7%,"83% of 6,415 applicants were admitted",Rolling,"$9,584","$21,884"
Anna Maria College,916,60%,"50% of 6,506 applicants were admitted",Rolling,"$45,508","$45,508"
Antelope Valley College,"13,532",0%,100% of 17 applicants were admitted,Rolling,"$1,146","$10,074"
Antigua College International,251,33%,100% of 82 applicants were admitted,Not reported,Not reported,Not reported
