Rank,Title,Year,Runtime,Certificate,Rating,URL
The,Shawshank Redemption,1994,2h 22m,15,"9.3
 (3.2M)",https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
The,Godfather,1972,2h 55m,15,"9.2
 (2.2M)",https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
The,Dark Knight,2008,2h 32m,12A,"9.1
 (3.2M)",https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
The,Godfather Part II,1974,3h 22m,X,"9.0
 (1.5M)",https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
12,Angry Men,1957,1h 36m,U,"9.0
 (989K)",https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
The,Lord of the Rings: The Return of the King,2003,3h 21m,12A,"9.0
 (2.2M)",https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6
Schindler's,List,1993,3h 15m,15,"9.0
 (1.6M)",https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7
The,Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,"8.9
 (2.2M)",https://www.imdb.com/title/tt0120737/?ref_=chttp_t_8
Pulp,Fiction,1994,2h 34m,18,"8.8
 (2.4M)",https://www.imdb.com/title/tt0110912/?ref_=chttp_t_9
The,"Good, the Bad and the Ugly",1966,2h 28m,18,"8.8
 (893K)",https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
The,Lord of the Rings: The Two Towers,2002,2h 59m,12A,"8.8
 (2M)",https://www.imdb.com/title/tt0167261/?ref_=chttp_t_11
Forrest,Gump,1994,2h 22m,12,"8.8
 (2.5M)",https://www.imdb.com/title/tt0109830/?ref_=chttp_t_12
Fight,Club,1999,2h 19m,15,"8.8
 (2.6M)",https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
Inception,,2010,2h 28m,12A,"8.8
 (2.8M)",https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
Star,Wars: Episode V - The Empire Strikes Back,1980,2h 4m,U,"8.7
 (1.5M)",https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
The,Matrix,1999,2h 16m,15,"8.7
 (2.3M)",https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
Interstellar,,2014,2h 49m,12A,"8.7
 (2.6M)",https://www.imdb.com/title/tt0816692/?ref_=chttp_t_17
